type,code,status,plate,sector_id
mid,E33-P1-201,1,not,6
mid,E33-P1-202,1,not,6
mid,E33-P1-203,1,not,6
mid,E33-P1-204,1,not,6
mid,E33-P1-205,1,not,6
mid,E33-P1-206,1,not,6
mid,E33-P1-207,1,not,6
mid,E33-P1-208,1,not,6
mid,E33-P1-209,1,not,6
mid,E33-P1-210,1,not,6
mid,E33-P1-211,1,not,6
mid,E33-P1-212,1,not,6
mid,E33-P1-213,1,not,6
mid,E33-P1-214,1,not,6
mid,E33-P1-215,1,not,6
mid,E33-P1-216,1,not,6
mid,E33-P1-217,1,not,6
mid,E33-P1-218,1,not,6
mid,E33-P1-219,1,not,6
mid,E33-P1-220,1,not,6
mid,E33-P1-221,1,not,6
mid,E33-P1-222,1,not,6
mid,E33-P1-223,1,not,6
mid,E33-P1-224,1,not,6
mid,E33-P1-225,1,not,6
mid,E33-P1-226,1,not,6
mid,E33-P1-227,1,not,6
mid,E33-P1-228,1,not,6
mid,E33-P1-229,1,not,6
mid,E33-P1-230,1,not,6
mid,E33-P1-231,1,not,6
mid,E6SP-206,1,not,12
mid,E6SP-207,1,not,12
mid,E6SP-208,1,not,12
mid,E6SP-209,0,not,12
mid,E6SP-210,1,not,12
mid,E6SP-211,1,not,12
mid,E6SP-212,1,not,12
mid,E6SP-213,1,not,12
mid,E6SP-214,1,not,12
mid,E6SP-215,1,not,12
mid,E6SP-216,1,not,12
mid,E6SP-217,1,not,12
mid,E6SP-218,1,not,12
mid,E6SP-219,1,not,12
mid,E6SP-220,1,not,12
mid,E6SP-221,1,not,12
mid,E6SP-222,1,not,12
mid,E6SP-223,1,not,12
mid,E6SP-224,1,not,12
mid,E6SP-225,0,not,12
mid,E6SP-226,1,not,12
mid,E6SP-227,1,not,12
mid,E6SP-228,1,not,12
mid,E6SP-229,0,not,12
mid,E6SP-230,1,not,12
mid,E6SP-231,0,not,12
mid,E6SP-232,1,not,12
mid,E6SP-233,1,not,12
mid,E6SP-234,1,not,12
mid,E6SP-235,1,not,12
mid,E6SP-236,1,not,12
mid,E6SP-237,1,not,12
mid,E6SP-238,1,not,12
mid,E6SP-239,0,not,12
mid,E6SP-240,1,not,12
mid,E6SP-241,1,not,12
mid,E6SP-242,1,not,12
mid,E6SP-243,1,not,12
mid,E6SP-244,0,not,12
mid,E6SP-245,0,not,12
mid,E6SP-246,1,not,12
mid,E6SP-247,0,not,12
mid,E6SP-248,1,not,12
mid,E6SP-249,1,not,12
mid,E6SP-250,0,not,12
mid,E6SP-251,0,not,12
mid,E6SP-252,1,not,12
mid,E6SP-253,0,not,12
mid,E6SP-254,1,not,12
mid,E6SP-255,1,not,12
mid,E6SP-256,1,not,12
mid,E6SP-257,0,not,12
mid,E6SP-258,1,not,12
mid,E6SP-259,1,not,12
mid,E6SP-260,0,not,12
mid,E6SP-261,0,not,12
mid,E6SP-262,1,not,12
mid,E6SP-263,1,not,12
mid,E6SP-264,0,not,12
mid,E6SP-265,0,not,12
mid,E6SP-266,1,not,12
mid,E6SP-267,1,not,12
mid,E6SP-268,1,not,12
mid,E6SP-269,1,not,12
mid,E6SP-270,1,not,12
mid,E6SP-271,1,not,12
mid,E6SP-272,1,not,12
mid,E6SP-273,0,not,12
mid,E6SP-274,1,not,12
mid,E6SP-275,0,not,12
mid,E6SP-276,1,not,12
mid,E6SP-277,0,not,12
mid,E6SP-278,0,not,12
mid,E6SP-279,0,not,12
mid,E6SP-280,0,not,12
mid,E6SP-281,0,not,12
mid,E6SP-282,0,not,12
mid,E6SP-283,1,not,12
mid,E6SP-284,0,not,12
mid,E6SP-285,1,not,12
mid,E6SP-286,1,not,12
mid,E6SP-287,1,not,12
mid,E6SP-288,1,not,12
mid,E6SP-289,0,not,12
mid,E6SP-290,0,not,12
mid,E6SP-291,0,not,12
mid,E6SP-292,1,not,12
mid,E6SP-293,1,not,12
mid,E6SP-294,0,not,12
mid,E6SP-295,1,not,12
mid,E6SP-296,0,not,12
mid,E6SP-297,1,not,12
mid,E6SP-298,1,not,12
mid,E6SP-299,0,not,12
mid,E6SP-300,1,not,12
mid,E6SP-301,1,not,12
mid,E6SP-302,1,not,12
mid,E6SP-303,1,not,12
mid,E6SP-304,0,not,12
mid,E6SP-305,1,not,12
mid,E6SP-306,1,not,12
mid,E6SP-307,1,not,12
mid,E6SP-308,1,not,12
mid,E6SP-309,1,not,12
mid,E6SP-310,0,not,12
mid,E6SP-311,1,not,12
mid,E6SP-312,1,not,12
mid,E6SP-313,1,not,12
mid,E6SP-314,1,not,12
mid,E6SP-315,1,not,12
mid,E6SP-316,0,not,12
mid,E6SP-317,1,not,12
mid,E6SP-318,0,not,12
mid,E6SP-319,1,not,12
mid,E6SP-320,0,not,12
mid,E6SP-321,1,not,12
mid,E6SP-322,0,not,12
mid,E6SP-323,1,not,12
mid,E6SP-324,1,not,12
mid,E6SP-325,1,not,12
mid,E6SP2-326,1,not,13
mid,E6SP2-327,1,not,13
mid,E6SP2-328,0,not,13
mid,E6SP2-329,0,not,13
mid,E6SP2-330,1,not,13
mid,E6SP2-331,1,not,13
mid,E6SP2-332,1,not,13
mid,E6SP2-333,1,not,13
mid,E6SP2-334,1,not,13
mid,E6SP2-335,1,not,13
mid,E6SP2-336,1,not,13
mid,E6SP2-337,1,not,13
mid,E6SP2-338,1,not,13
mid,E6SP2-339,1,not,13
mid,E6SP2-340,1,not,13
mid,E6SP2-341,1,not,13
mid,E6SP2-342,1,not,13
mid,E6SP2-343,1,not,13
mid,E6SP2-344,1,not,13
mid,E6SP2-345,1,not,13
mid,E6SP2-346,1,not,13
mid,E6SP2-347,1,not,13
mid,E6SP2-348,1,not,13
mid,E6SP2-349,1,not,13
mid,E6SP2-350,1,not,13
mid,E6SP2-351,1,not,13
mid,E6SP2-352,1,not,13
mid,E6SP2-353,1,not,13
mid,E6SP2-354,0,not,13
mid,E6SP2-355,1,not,13
mid,E6SP2-356,1,not,13
mid,E6SP2-357,1,not,13
mid,E6SP2-358,1,not,13
mid,E6SP2-359,1,not,13
mid,E6SP2-360,1,not,13
mid,E6SP2-361,1,not,13
mid,E6SP2-362,1,not,13
mid,E6SP2-363,1,not,13
mid,E6SP2-364,1,not,13
mid,E6SP2-365,1,not,13
mid,E6SP2-366,1,not,13
mid,E6SP2-367,1,not,13
mid,E6SP2-368,1,not,13
mid,E6SP2-369,1,not,13
mid,E6SP2-370,1,not,13
mid,E6SP2-371,1,not,13
mid,E6SP2-372,1,not,13
mid,E6SP2-373,1,not,13
mid,E6SP2-374,1,not,13
mid,E6SP2-375,1,not,13
mid,E6SP2-376,1,not,13
mid,E6SP2-377,1,not,13
mid,E6SP2-378,1,not,13
mid,E6SP2-379,1,not,13
mid,E6SP2-380,1,not,13
mid,E6SP2-381,0,not,13
mid,E6SP2-382,1,not,13
mid,E6SP2-383,1,not,13
mid,E6SP2-384,1,not,13
mid,E6SP2-385,1,not,13
mid,E6SP2-386,1,not,13
mid,E6SP2-387,1,not,13
mid,E6SP2-388,1,not,13
mid,E6SP2-389,1,not,13
mid,E6SP2-390,1,not,13
mid,E6SP2-391,1,not,13
mid,E6SP2-392,1,not,13
mid,E6SP2-393,1,not,13
mid,E6SP2-394,1,not,13
mid,E6SP2-395,1,not,13
mid,E6SP2-396,1,not,13
mid,E6SP2-397,1,not,13
mid,E6SP2-398,0,not,13
mid,E6SP2-399,1,not,13
mid,E6SP2-400,1,not,13
small,2010077-00304,0,not,13
small,2010077-00305,0,not,13
mid,2010077-00283,1,not,13
mid,EV-SIN-004,0,not,13
small,EV-SIN-005,0,not,13
small,EV-SIN-006,0,not,13
small,EV-SIN-007,0,not,13
small,EV-SIN-008,0,not,13
small,EV-SIN-009,0,not,13
mid,EV-SIN-010,1,not,13
mid,2010077-00286,0,not,13
mid,2010077-00287,0,not,13
mid,2010077-00282,0,not,13
mid,2010077-00288,0,not,13
mid,2010077-00284,0,not,13
small,2010077-00308,0,not,13
mid,2010077-00280,0,not,13
mid,2010077-00285,0,not,13
mid,EV-SIN-019,0,not,13
mid,EV-SIN-020,1,not,13
small,EV-SIN-021,0,not,13
small,EV-SIN-022,0,not,13
mid,EV-SIN-023,0,not,13
mid,EV-SIN-024,0,not,13
mid,EV-SIN-025,0,not,13
mid,EV-SIN-026,0,not,13
mid,EV-SIN-027,0,not,13
large,2010077-00125,0,not,13
mid,EV-SIN-029,1,not,13
mid,EV-SIN-030,1,not,13
large,2010077-00222,0,not,13
mid,E-6-PB-001,1,not,10
mid,E-6-PB-002,2,not,10
mid,E-6-PB-003,1,not,10
mid,E-6-PB-004,1,not,10
mid,E-6-PB-005,1,not,10
